dew,humidity,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,Day,Month,Year,temp
11.4,61.9,32.4,14.8,205,1019.1,6.5,5.8,168.3,14.6,6,0.52,Clear,1,1,2010,19.3
9.1,50.2,32.4,27.7,202.2,1016.5,14.2,5.1,164.3,14.2,6,0.56,Clear,2,1,2010,20.3
9.7,56.3,32.4,16.6,263,1017,11.1,8.4,166.1,14.2,6,0.59,Clear,3,1,2010,18.6
10.6,68.1,32.4,13,324.2,1018.8,17.6,6.8,169.2,14.6,6,0.62,Clear,4,1,2010,16.7
11,70,32.4,20.5,34,1020.1,19.8,6.1,168.5,14.7,6,0.66,Clear,5,1,2010,16.8
10,66.8,32.4,29.5,51.5,1019.5,1.9,10,172.5,15,7,0.69,Clear,6,1,2010,16.5
10.6,71.3,32.4,11.2,356.5,1019,0,4.5,171.2,14.9,7,0.75,Clear,7,1,2010,16.1
12.4,72,32.4,11.2,7.3,1020.3,0,4.2,170.5,14.6,6,0.76,Clear,8,1,2010,17.7
10,59.6,32.4,13,33,1019.7,0,6.8,179.7,15.4,7,0.8,Clear,9,1,2010,18.6
8.3,56.7,32.4,13,208,1018.1,5.5,5.7,177.6,15.2,7,0.83,Clear,10,1,2010,18.2
9.1,56.8,32.4,16.6,4.3,1018.6,7.2,4.7,171.1,14.7,6,0.87,Clear,11,1,2010,18
11.2,72.2,32.4,13,39.6,1016.2,58.4,7.8,119.4,10.3,5,0.9,Partially cloudy,12,1,2010,16.3
9.6,64.7,32.4,11.2,267.4,1014.6,4.2,5,166,14.3,6,0.94,Clear,13,1,2010,16.6
6.1,50.4,32.4,33.5,201.1,1015.5,30.6,7.3,171.3,14.8,7,0.97,Partially cloudy,14,1,2010,17
4.2,41.3,32.4,18.4,194,1017.4,0.3,8.5,176.5,15.3,7,0,Clear,15,1,2010,17.8
4.6,43.6,32.4,14.8,72.7,1015.9,10.7,8,175.7,15.1,7,0.04,Clear,16,1,2010,17.6
4.6,41.6,32.4,22.3,258.5,1013.7,19.9,6.7,147.3,12.9,5,0.07,Rain,17,1,2010,18.4
7.4,54.2,32.4,27.7,257.3,1012.2,47.2,7.6,123.5,10.7,5,0.1,"Rain, Partially cloudy",18,1,2010,17
8.4,62.2,32.4,31.3,205.4,1014.4,52.8,8.4,165,14.3,7,0.14,Partially cloudy,19,1,2010,15.7
8.4,63.6,32.4,27.7,249.8,1016.2,55.7,7.6,177.2,15.4,7,0.17,Partially cloudy,20,1,2010,15.7
6.4,57.5,32.4,16.6,241.6,1020.7,14.8,9,182.5,15.7,7,0.2,Clear,21,1,2010,15.1
5.3,49.1,32.4,25.9,180.6,1018.3,15.7,9.8,176.4,15.3,7,0.24,Clear,22,1,2010,16.3
5.8,47.6,32.4,22.3,234.6,1017.3,2.1,6.8,178.7,15.5,7,0.25,Clear,23,1,2010,17.1
3.9,47.4,32.4,44.3,236.8,1016.3,21.9,6.5,187.5,16.3,7,0.3,Partially cloudy,24,1,2010,15.4
6.5,62,32.4,20.5,284.4,1021.2,57.2,9.1,182.2,15.6,7,0.34,Partially cloudy,25,1,2010,13.9
5.6,58.7,32.4,16.6,358.5,1024.2,77.9,9.8,189.4,16.3,7,0.37,Partially cloudy,26,1,2010,13.6
4.4,54.9,32.4,31.3,66.8,1019.8,23.3,9.7,192.9,16.8,7,0.4,Partially cloudy,27,1,2010,13.9
3.2,41.1,32.4,33.5,205.9,1011.9,0,8.5,188.4,16.1,7,0.44,Clear,28,1,2010,17.2
1.7,32.9,32.4,24.1,182.1,1010.4,8.9,9.1,183.9,15.8,7,0.47,Clear,29,1,2010,19.4
-2.1,29.2,32.4,42.5,197.8,1007.5,25.1,6.9,109.1,9.4,5,0.5,Partially cloudy,30,1,2010,22
5.9,47.8,32.4,13,347.7,1014.4,4.4,9.7,186.7,16.1,7,0.54,Clear,31,1,2010,17.5
4.6,44.1,32.4,22.3,63.2,1017.4,0,9.5,204.9,17.8,7,0.57,Clear,1,2,2010,17.4
4.6,46.8,32.4,16.6,144.4,1014.5,25.5,9.3,188.1,16.3,7,0.61,Partially cloudy,2,2,2010,16.7
4.6,51,32.4,31.3,291.9,1016,50.9,9.7,199.5,17.1,7,0.64,Partially cloudy,3,2,2010,14.9
4.2,57.4,32.4,25.9,286.3,1020.4,57.9,10.3,169.5,14.8,6,0.67,Partially cloudy,4,2,2010,12.5
4,56.6,32.4,18.4,290.9,1020.2,48.6,10.1,194,16.7,7,0.71,Partially cloudy,5,2,2010,12.5
4.3,59.9,32.4,16.6,341.8,1020.4,38.1,9.2,208.8,18,8,0.75,Partially cloudy,6,2,2010,12.2
2.2,49.5,32.4,18.4,151.8,1018,0,9.5,217.2,18.8,8,0.77,Clear,7,2,2010,13
-0.2,31,32.4,42.5,193.1,1012.4,24.2,8.2,193.6,16.5,8,0.81,Partially cloudy,8,2,2010,17.5
1.8,34.1,32.4,27.7,222.3,1012.2,13.1,9.3,206.7,17.8,8,0.84,Clear,9,2,2010,18.2
4.5,39.7,32.4,22.3,143.6,1013.9,32.6,8.8,188.3,16.4,8,0.88,Partially cloudy,10,2,2010,19.2
2.4,29.2,32.4,42.5,192.9,1010.4,28.2,7.4,197.6,17,8,0.91,Partially cloudy,11,2,2010,22.7
4.7,40.1,32.4,14.8,60.2,1015.4,26,8.1,192.4,16.6,7,0.94,Partially cloudy,12,2,2010,20.7
3.6,29.2,32.4,20.5,87.5,1014.4,32.7,6.8,209.3,18.1,8,0.98,Partially cloudy,13,2,2010,23.3
5.1,29.2,32.4,25.9,102.3,1012.1,19.6,5.3,206.8,18,8,0,Clear,14,2,2010,25.4
4.4,29.2,32.4,27.7,190.5,1009.5,16.1,6,196.5,16.9,8,0.04,Clear,15,2,2010,26.5
11.4,55.7,32.4,22.3,357.7,1013,5.9,4.7,212.5,18.3,8,0.08,Clear,16,2,2010,21.3
7.8,38.1,32.4,22.3,179,1013.2,20.2,7.3,213.2,18.4,8,0.11,Partially cloudy,17,2,2010,24.6
9.6,40.2,32.4,18.4,306.1,1014.8,2.2,5,220.2,18.9,8,0.15,Clear,18,2,2010,24.4
9.4,43.4,32.4,14.8,327.9,1016.7,0.1,5.8,226.3,19.7,8,0.18,Clear,19,2,2010,23.3
9.1,38,32.4,25.9,101,1014.9,0.5,6.6,231,19.7,8,0.22,Clear,20,2,2010,25.1
9.4,43.6,32.4,29.5,291,1012.6,25.9,6.4,202.8,17.5,8,0.25,Partially cloudy,21,2,2010,23.6
9.4,59.6,32.4,18.4,5.1,1017.1,50.5,8.2,220.7,19.1,8,0.25,Partially cloudy,22,2,2010,17.8
9.6,62.6,32.4,18.4,30.1,1016.2,33.4,9.7,226.9,19.5,8,0.32,Partially cloudy,23,2,2010,17.1
8.4,54.2,32.4,20.5,63.4,1012.3,40.2,10,192,16.8,8,0.35,Partially cloudy,24,2,2010,18.2
9.5,64.4,32.4,29.5,252.6,1007.4,65.8,7.9,168.3,14.4,7,0.39,"Rain, Partially cloudy",25,2,2010,16.5
10.7,71.3,32.4,33.5,252.8,1010.4,49.4,10.1,208.8,18,8,0.42,"Rain, Partially cloudy",26,2,2010,16.1
8.5,58.6,32.4,31.3,234.2,1012.9,10.6,9.3,246.5,21.3,9,0.46,Clear,27,2,2010,17.5
7.5,51,32.4,31.5,261.8,1011.2,35.3,10.2,201.7,17.3,8,0.5,Partially cloudy,28,2,2010,18.2
9.8,60.4,32.4,16.6,299.2,1017.4,39,10,224,19.4,9,0.52,Partially cloudy,1,3,2010,17.7
7.9,47.9,32.4,27.7,196.5,1017.2,1.7,7.2,233.2,20,8,0.56,Clear,2,3,2010,20.4
10.8,59.6,32.4,29.5,278.8,1016.2,27,7.6,223,19.3,8,0.59,Partially cloudy,3,3,2010,19.3
11.3,66.2,32.4,11.2,22.8,1018.2,11.2,6.5,242.1,21,8,0.62,Clear,4,3,2010,18.5
6.8,34.9,32.4,35.3,203.3,1013.8,10.1,6.3,202.5,17.5,7,0.66,Clear,5,3,2010,23.9
10.5,54.1,32.4,16.6,353.8,1016.7,5.9,8.2,246.2,21.5,8,0.69,Clear,6,3,2010,20.6
7.4,42.6,32.4,24.1,68,1017.5,24.9,10,256.6,22.3,9,0.75,Partially cloudy,7,3,2010,22.1
6,33.4,32.4,31.3,188.2,1012.2,14.9,7.3,259,22.5,9,0.75,Clear,8,3,2010,26.9
7.1,31.8,32.4,27.7,350.2,1011.4,33.7,5,213.5,18.4,8,0.79,Partially cloudy,9,3,2010,26.5
13.9,55.8,32.4,24.1,43.4,1013.8,2.2,4.1,234.2,20.2,8,0.82,Clear,10,3,2010,23.8
11.5,38.1,32.4,29.5,204.4,1011.9,3.9,5.5,249.7,21.6,8,0.85,Clear,11,3,2010,29.9
14.9,57.9,32.4,22.3,22.8,1013.8,12.2,6.1,256.3,22.1,9,0.89,Clear,12,3,2010,23.8
14.6,59.7,32.4,24.1,47.3,1011.1,36.8,6.9,262.3,22.7,9,0.92,Partially cloudy,13,3,2010,23.1
16.1,55.9,32.4,24.1,247.6,1005.1,24.8,5.5,186.4,16.1,6,0.95,Partially cloudy,14,3,2010,26.7
15.4,66.7,32.4,30.2,322.8,1006.9,11.3,4.5,246.9,21.4,9,0,Clear,15,3,2010,22.1
9.5,58.9,32.4,25.9,355.6,1018.1,41.4,8.4,278.6,24,9,0.02,Partially cloudy,16,3,2010,18
7.3,55.8,32.4,24.1,336.9,1019.6,41.1,8.9,214,18.5,8,0.05,Partially cloudy,17,3,2010,16.3
5.2,51.1,32.4,27.7,317.9,1022.9,41.8,10.2,265.1,23.1,9,0.09,Partially cloudy,18,3,2010,15.6
4.5,49.4,32.4,24.1,355.9,1024.4,18,8.8,288.6,24.9,9,0.12,Clear,19,3,2010,15.3
5.6,50.3,32.4,31.3,17.2,1023.5,25.9,8.1,286.6,24.8,9,0.16,Partially cloudy,20,3,2010,16.4
5.1,47.4,32.4,33.5,26.2,1022.2,0,10,283.2,24.3,9,0.19,Clear,21,3,2010,17.6
8.9,55.8,32.4,29.5,16.4,1017.8,2.8,9.4,276,23.8,9,0.23,Clear,22,3,2010,18.2
10.4,61,32.4,25.9,2.1,1013.9,3.7,7.9,282.1,24.1,9,0.25,Clear,23,3,2010,18.5
10.6,62.1,32.4,20.5,342.3,1014.3,37.3,6.4,269.4,23.4,9,0.3,Partially cloudy,24,3,2010,18.6
10,57.2,32.4,18.4,346.9,1015.2,18.1,8.7,286.7,24.7,9,0.34,Clear,25,3,2010,19.5
10.2,59.7,32.4,24.1,309.9,1015.1,26.1,8.8,277.8,23.9,9,0.37,Partially cloudy,26,3,2010,18.5
11.7,62.9,32.4,16.6,296.8,1014.5,38.8,10.2,279,24.2,9,0.41,Partially cloudy,27,3,2010,19
9.3,51.2,32.4,27.7,213.8,1014.4,6.8,8.5,282.3,24.3,9,0.44,Clear,28,3,2010,21.1
10.9,58.8,32.4,18.4,314.1,1016.4,10.7,8.7,288.5,24.9,9,0.48,Clear,29,3,2010,19.7
8.5,52.4,32.4,22.3,3.1,1019.9,3.8,8.7,304.7,26.1,10,0.5,Clear,30,3,2010,18.9
5.8,43.5,32.4,22.3,51.2,1020.3,0,10.2,309.4,26.8,10,0.54,Clear,31,3,2010,19.3
4.9,34.3,32.4,16.6,37.2,1018.3,2.8,10,285.6,24.7,9,0.58,Clear,1,4,2010,22.8
5.1,29.2,32.4,18.4,51.5,1015.4,7.7,10,286.4,25,9,0.61,Clear,2,4,2010,27.4
8.9,33,32.4,27.7,1.7,1013.5,9,7.1,279.6,24.2,9,0.64,Clear,3,4,2010,27.2
11.5,53.9,32.4,24.1,14.1,1016,15.8,8.1,261,22.4,9,0.67,Clear,4,4,2010,21.9
11.4,59.5,32.4,24.1,18.2,1016.8,21.9,8.1,311.3,26.9,10,0.7,Partially cloudy,5,4,2010,20.2
12.7,61.8,32.4,25.2,0.7,1014.5,8.4,8.5,306.4,26.4,10,0.75,Clear,6,4,2010,20.8
11.1,61.1,32.4,18.4,318.1,1014.7,30,10.1,298.8,25.9,10,0.77,Partially cloudy,7,4,2010,19.2
9.4,56.5,32.4,18.4,338.2,1016.5,24.6,10.1,310.8,26.9,10,0.8,Partially cloudy,8,4,2010,18.6
8.6,49.4,32.4,14.8,45.1,1017.2,13.2,9.5,271.1,23.3,9,0.83,Clear,9,4,2010,20.2
7.6,36.1,32.4,29.5,142,1010,15.4,8.2,252.3,21.8,9,0.87,Clear,10,4,2010,26.2
5.5,29.8,32.4,42.5,234.9,1004.5,20.5,3.6,169.3,14.7,7,0.9,Partially cloudy,11,4,2010,26.8
9.1,53.6,32.4,20.5,314.9,1012.1,26.9,10.2,320.3,27.5,10,0.93,Partially cloudy,12,4,2010,19
8.6,51.7,32.4,24.1,29.2,1015.3,12.6,10,317.1,27.3,10,0.96,Clear,13,4,2010,19.1
7.7,46.7,32.4,27.7,53.2,1013.8,0,10,302,26,10,0,Clear,14,4,2010,20.7
8.8,46.6,32.4,27.7,52.6,1012,20.4,10,296.1,25.7,10,0.03,Partially cloudy,15,4,2010,22.2
11.6,53.2,32.4,20.9,30.6,1011.3,13.7,10,311.8,26.8,10,0.07,Clear,16,4,2010,22.7
10.2,46.1,32.4,18.4,19.9,1013.5,3.4,10.4,325.1,28,10,0.1,Clear,17,4,2010,23.8
7.5,30.2,32.4,18.4,40.6,1014.4,38.2,8.7,294.6,25.4,10,0.14,Partially cloudy,18,4,2010,27.6
7.4,29.2,32.4,28.8,41,1012.1,37.5,8.8,295.1,25.3,9,0.17,Partially cloudy,19,4,2010,30
10.8,34.3,32.4,29.5,321.5,1010.4,26.8,7.5,216.1,18.8,7,0.21,"Rain, Partially cloudy",20,4,2010,28.2
10,47.8,32.4,27.7,308,1011.1,39.5,8.9,199.3,17.3,7,0.25,Partially cloudy,21,4,2010,22.4
10.2,51.7,32.4,25.9,298.4,1013.9,25.9,10.2,317.8,27.6,10,0.28,Partially cloudy,22,4,2010,20.7
10.8,53.9,32.4,25.9,6.4,1017.6,34.9,9.4,216.2,18.7,8,0.32,Partially cloudy,23,4,2010,21
7.9,43.2,32.4,31.3,48.9,1016.8,8.2,10,341.2,29.4,10,0.35,Clear,24,4,2010,22.2
9.4,44.6,32.4,27.7,36.6,1013.7,32.1,10,302.7,26.3,10,0.39,Partially cloudy,25,4,2010,23.2
8.3,38.1,32.4,20.5,49.3,1011.9,7.8,10,328,28.3,10,0.43,Clear,26,4,2010,24.9
8.6,33.7,32.4,27.7,334,1010.9,6.9,7.5,317.7,27.5,10,0.46,Clear,27,4,2010,26.5
12.3,55.2,32.4,20.5,339.7,1014.6,59.9,8.9,270.9,23.4,10,0.5,Partially cloudy,28,4,2010,22
12.2,56.7,32.4,34.2,14.8,1013.5,56.1,9.5,251.9,22,8,0.53,Partially cloudy,29,4,2010,21.5
12,52.8,32.4,20.5,8.2,1011.7,67.5,10,241.4,19.9,8,0.56,Partially cloudy,30,4,2010,22.7
11.7,55.1,32.4,22.3,330.2,1012.5,16.3,8.1,342.2,28.3,10,0.59,Clear,1,5,2010,21.8
11.6,53,32.4,24.1,0.6,1014.7,5.2,8.9,348.3,28.7,10,0.62,Clear,2,5,2010,22.3
11.8,50.9,32.4,31.3,25,1013.9,3,9.8,349.8,28.9,10,0.66,Clear,3,5,2010,23.4
10.2,45.2,32.4,27.7,32.1,1012.3,0,9.8,357.8,29.8,10,0.69,Clear,4,5,2010,23.9
9.6,41.7,32.4,27.7,32.4,1011,0,10,364.5,30.2,10,0.72,Clear,5,5,2010,24.9
10.3,43.1,32.4,20.5,50.5,1009.5,3.8,10,361.4,30.1,10,0.75,Clear,6,5,2010,26.1
6.4,29.2,32.4,20.5,33.1,1008.3,31.3,9.6,340.4,28.2,10,0.79,Partially cloudy,7,5,2010,29.3
10.6,31.9,32.4,18.4,358.6,1008.8,23.8,8.3,310.1,25.7,9,0.82,Partially cloudy,8,5,2010,29.8
10.1,29.2,32.4,31.3,153,1004.2,7,7.4,297.1,24.6,9,0.85,Clear,9,5,2010,35.3
15.6,49.4,32.4,31.3,276.9,1004.1,17.3,7.3,324.7,26.9,10,0.88,Clear,10,5,2010,27.5
14.8,59.2,32.4,20.5,299.6,1009.4,12,8.8,366.7,30.4,10,0.91,Clear,11,5,2010,24.1
13.3,51.8,32.4,20.5,325.3,1010.9,0.7,8.1,372.8,30.8,10,0.95,Clear,12,5,2010,25
10.7,39,32.4,16.6,18.3,1011.6,0.2,9.5,375.2,31.2,10,0.98,Clear,13,5,2010,26.8
12.4,35.6,32.4,14.8,350.6,1010.6,10.1,9.8,338.6,27.9,10,0,Clear,14,5,2010,30.5
9.8,30.2,32.4,24.1,19.6,1011.4,6,9.3,357,29.5,10,0.05,Clear,15,5,2010,30.4
11,29.2,32.4,27.7,354.1,1010.9,2.9,6.2,294.5,24.3,9,0.08,Clear,16,5,2010,33.6
15.7,53,32.4,27.7,9.2,1013.6,25.3,8.4,250.6,20.8,8,0.12,Partially cloudy,17,5,2010,26.4
14.3,58.7,32.4,24.1,344.7,1014.5,43.5,9.5,283.7,23.5,9,0.16,Partially cloudy,18,5,2010,23.2
12.2,52.3,32.4,24.1,346.7,1015.8,43.4,10,363,30.1,10,0.19,Partially cloudy,19,5,2010,22.9
13,55.4,32.4,27.7,9.1,1016.1,23.7,8.6,336.2,27.9,10,0.23,Partially cloudy,20,5,2010,22.8
12.4,50.8,32.4,25.9,50.9,1013,47.6,10,354.8,29.6,10,0.25,Partially cloudy,21,5,2010,24.5
13.8,49.6,32.4,25.9,316,1010.7,29.6,8.7,264.2,21.9,9,0.3,Partially cloudy,22,5,2010,25.4
12.4,51.4,32.4,22.3,331.7,1015,27.4,9.8,356.1,29.5,10,0.34,Partially cloudy,23,5,2010,23.2
13.3,52.7,32.4,31.3,6.6,1015.6,25.3,8.7,368.4,30.4,10,0.37,Partially cloudy,24,5,2010,23.9
12.2,47.2,32.4,27.7,45.3,1014,1.8,10,363.8,30.2,10,0.41,Clear,25,5,2010,25.2
12.1,42.3,32.4,29.5,61.2,1009.7,14.5,10,315.5,26.1,9,0.44,Clear,26,5,2010,27.6
12,37.8,32.4,31.3,263.6,1009.5,7.3,3.5,291.7,24.3,9,0.48,Clear,27,5,2010,28.1
14.3,52.1,32.4,20.5,296.7,1013.2,1.3,10,358,29.7,10,0.5,Clear,28,5,2010,25.4
13.8,46.1,32.4,22.3,329,1013.5,0,9.3,366.7,30.3,10,0.55,Clear,29,5,2010,27
13,40.3,32.4,25.9,30.8,1011.3,0,10,368.7,30.4,10,0.58,Clear,30,5,2010,28.4
13.8,42.6,32.4,24.1,41.8,1009.5,0,10,372.3,30.9,10,0.61,Clear,31,5,2010,29.3
9.9,29.2,32.4,37.1,227.9,1006.3,14.3,7.8,352.9,29.5,10,0.64,Clear,1,6,2010,32.6
14.8,41.7,32.4,25.9,263.3,1008.3,0,3.3,313.7,26,9,0.67,Clear,2,6,2010,29.7
15.4,47.7,32.4,33.5,14.7,1011.3,9.9,10,358.8,29.7,10,0.71,Clear,3,6,2010,28.3
16.2,54,32.4,24.1,9.4,1013.3,14.8,10,364.6,30.2,10,0.74,Clear,4,6,2010,26.6
15.4,52.9,32.4,25.9,29.7,1013.4,13.3,10,371.5,30.7,10,0.75,Clear,5,6,2010,26.4
15.1,40.9,32.4,18.4,35.8,1010.4,14.3,10,346.1,28.5,10,0.8,Clear,6,6,2010,31.5
18,54.6,32.4,24.1,2.4,1009.3,2,8.7,352,29,10,0.84,Clear,7,6,2010,28.4
16.5,58.6,32.4,22.3,358.8,1011.1,29.6,10.2,368.9,30.5,10,0.87,Partially cloudy,8,6,2010,25.7
14.8,50.5,32.4,22.3,319.5,1012.2,3.6,10,369.3,30.2,10,0.9,Clear,9,6,2010,26.6
14,41.9,32.4,31.3,50.3,1009.4,0,9.7,362.4,29.9,10,0.93,Clear,10,6,2010,29
16.2,48.9,32.4,29.5,11,1006.7,0,10,335.2,27.7,9,0.96,Clear,11,6,2010,28
17.9,57.8,32.4,24.1,19,1008.9,5,10,365.7,30.2,10,0,Clear,12,6,2010,27.2
18.1,54.4,32.4,22.3,357.3,1009.9,8.4,10.1,355.1,29.3,10,0.03,Clear,13,6,2010,28.7
18.2,55.6,32.4,18.4,355.8,1011.2,1.3,9,367.6,30.3,10,0.07,Clear,14,6,2010,28.4
17.2,49.5,32.4,22.7,356.9,1011.1,0,9.8,364.8,30.2,10,0.1,Clear,15,6,2010,29.8
19,52.9,32.4,20.5,329.2,1009,0,8.7,368.5,30.4,10,0.14,Clear,16,6,2010,30.7
18.9,51.8,38.9,20.5,320.2,1007.1,0,7.9,370.1,30.5,10,0.18,Clear,17,6,2010,31.4
15.7,39.8,32.4,25.9,289,1006.5,0,8.7,370.2,30.4,10,0.21,Clear,18,6,2010,33
18.2,47.4,32.4,18.4,293.6,1005.5,0,9.3,363.7,30.1,10,0.25,Clear,19,6,2010,31.4
14.4,33.2,32.4,38.9,78.5,1004.7,0,8.2,358.6,29.8,10,0.28,Clear,20,6,2010,35.3
15,33,32.4,27.7,40.7,1007.6,0,9.8,361.2,30,10,0.32,Clear,21,6,2010,35.4
15.1,35.8,32.4,31.3,298.5,1009.3,0,8.6,366.7,30.2,10,0.35,Clear,22,6,2010,33.1
17.4,44.1,32.4,22.3,352.4,1008.9,0,8.8,351,28.9,10,0.39,Clear,23,6,2010,32
16.7,51,32.4,24.1,342.1,1009.5,1.2,10,359,29.7,10,0.42,Clear,24,6,2010,28.3
15.8,50.8,32.4,29.5,311.4,1009.9,34.9,10.2,372,30.8,10,0.46,Partially cloudy,25,6,2010,27.3
16.7,55,32.4,24.1,315.7,1010.9,36.1,10.3,373.5,31,10,0.5,Partially cloudy,26,6,2010,26.7
15.9,51.4,32.4,18.4,359.7,1011.6,0,9,377.7,31.4,10,0.53,Clear,27,6,2010,27.3
14,38.5,32.4,24.1,49.9,1009.9,0,10,360.4,29.8,10,0.56,Clear,28,6,2010,30.7
16,40.5,32.4,33.5,318.5,1007.6,0,8,352.5,29.3,10,0.59,Clear,29,6,2010,31.5
18.2,58.4,32.4,20.5,347.3,1010.5,12.8,9.4,371.5,30.8,10,0.63,Clear,30,6,2010,27.4
15.6,50.6,38.9,20.5,2.6,1010.9,0,10,375.3,31.2,10,0.66,Clear,1,7,2010,27.6
17.7,57.8,32.4,25.9,2.3,1010.1,3.5,8.1,366.6,30.4,10,0.69,Clear,2,7,2010,27.4
17.8,57.4,32.4,24.1,4.1,1008.9,12.4,9.4,369.8,30.4,10,0.72,Clear,3,7,2010,27.7
19.2,59.8,32.4,24.1,354.2,1008.7,1.2,9.7,363.2,29.9,10,0.75,Clear,4,7,2010,28.7
18.6,58.1,32.4,24.1,340.7,1008.9,6.3,7.9,364.5,30.2,10,0.79,Clear,5,7,2010,28.7
18.1,56.3,32.4,16.6,338.8,1009.1,4.3,6.9,369,30.5,10,0.82,Clear,6,7,2010,28.8
18.4,57.6,32.4,44.349999999999994,329,1009.7,3.2,7.4,373,30.7,10,0.86,Clear,7,7,2010,28.7
18.6,57.3,32.4,24.1,333.4,1010.5,0,9.8,368.3,30.3,10,0.89,Clear,8,7,2010,28.5
19.6,60.7,32.4,25.9,351.4,1010.2,6.4,7.5,366.2,30.2,10,0.92,Clear,9,7,2010,28.6
18.9,60.8,32.4,24.1,355.9,1010.8,6.5,8.3,363.5,30.1,10,0.95,Clear,10,7,2010,27.8
18.6,60.2,35.3,24.1,359.5,1011.1,5.9,9.3,359.5,29.6,10,0,Clear,11,7,2010,27.5
19.2,61.2,32.4,25.9,16,1010.2,17.6,7.5,339.5,28.1,10,0.02,Clear,12,7,2010,27.8
19.7,61.7,32.4,25.9,358.3,1008.4,10.1,8.2,341.4,28.4,10,0.05,Clear,13,7,2010,28.5
19.5,59.4,40.7,24.1,339,1007.3,4.8,8.2,349.9,29,10,0.09,Clear,14,7,2010,29
19.6,57.8,32.4,20.5,311.1,1006.1,0,8.9,364.3,30.2,10,0.12,Clear,15,7,2010,29.6
20.1,54.5,32.4,16.6,293.8,1007.4,0,10,362.6,30.1,10,0.16,Clear,16,7,2010,30.7
20.7,57.9,32.4,20.5,336.5,1009.3,0,7.4,351,29.1,10,0.19,Clear,17,7,2010,30.8
21.3,59.2,32.4,18.4,347.4,1009.2,0,8,355.6,29.6,10,0.25,Clear,18,7,2010,30.7
19.8,58.7,32.4,18.4,346.7,1009.5,5.4,7.7,363.2,30.2,10,0.27,Clear,19,7,2010,29.5
19.5,57.7,32.4,18.4,352.1,1009.2,1.1,8.6,365.1,30.2,10,0.3,Clear,20,7,2010,29.5
18.7,54.6,32.4,25.9,327.6,1008.7,0.1,7.8,358.8,29.8,10,0.34,Clear,21,7,2010,29.7
20.6,63.2,32.4,24.1,326.2,1006.4,13.3,8.2,360.3,30,10,0.37,Clear,22,7,2010,28.7
20.8,62,32.4,18.4,296.8,1005.8,17.2,9.5,356,29.5,10,0.41,Clear,23,7,2010,29.3
20.8,58.9,32.4,20.5,281.4,1004.5,20,9,356.1,29.5,10,0.44,Clear,24,7,2010,30.3
19.6,54.1,32.4,18.4,308.7,1004.5,0,8.7,353.1,29.3,10,0.48,Clear,25,7,2010,31.3
13.5,30.6,32.4,20.5,5.3,1006.4,0,9.1,357.5,29.8,10,0.5,Clear,26,7,2010,34.9
19.7,51.1,32.4,24.1,12.2,1010.7,0.2,8.1,340,28.1,10,0.54,Clear,27,7,2010,32.4
19.4,58.1,32.4,22.3,345.4,1009.8,16.6,9.3,358.2,29.7,10,0.58,Clear,28,7,2010,29
18.7,58.1,32.4,22.3,331.9,1006.5,3,9.7,360.7,30,10,0.61,Clear,29,7,2010,28.8
19.5,59.3,32.4,22.3,359.7,1006.5,19.5,10,346.7,28.7,10,0.64,Clear,30,7,2010,28.8
20.5,59.8,32.4,20.5,1,1007.5,2,8.5,322.4,26.8,9,0.68,Clear,31,7,2010,30
21.1,61.3,32.4,20.5,325.6,1008,3.4,7.8,319.9,26.6,9,0.71,Clear,1,8,2010,30.2
22.4,66.8,32.4,18.4,312.5,1007.6,34.8,8.2,336.4,27.9,10,0.74,Partially cloudy,2,8,2010,29.9
21.2,61.1,32.4,20.5,303,1005.1,14.7,7.6,340.8,28.3,10,0.75,Clear,3,8,2010,30.6
19.6,53.2,32.4,22.3,330.3,1004.2,0,8.7,348,28.7,10,0.81,Clear,4,8,2010,31.6
14.9,34.3,32.4,25.9,59.6,1004.6,13.5,10.1,351.1,29.1,10,0.84,Clear,5,8,2010,34.5
20.1,52.4,32.4,24.1,17.1,1008.2,0,9.7,348,28.8,10,0.88,Clear,6,8,2010,32.4
22.1,61.9,32.4,22.3,14.9,1011.2,5.1,9,339.7,28.2,10,0.91,Clear,7,8,2010,31
20.4,60.7,31.3,22.3,5.1,1009.8,4.3,9.2,348.9,29,10,0.94,Clear,8,8,2010,29.4
20.7,62,32.4,22.3,352.3,1008.4,7,9,346.2,28.6,10,0.97,Clear,9,8,2010,29.1
20.6,60.6,32.4,18.4,351.5,1008.1,18.2,8.8,333.9,28.9,10,0,Clear,10,8,2010,29.7
21.4,61.2,32.4,18.4,358.8,1009.2,6.7,10,343.5,28.4,10,0.04,Clear,11,8,2010,30.2
20.4,57.9,32.4,19.4,349.7,1010.2,12.9,8.7,342.8,28.4,10,0.08,Clear,12,8,2010,30.3
21.5,61.9,32.4,18.4,352.5,1010.3,2.6,8.3,343.5,28.3,10,0.11,Clear,13,8,2010,30.1
22.9,66.6,32.4,22.3,337,1009.4,22.5,7.8,332.8,27.4,10,0.15,Partially cloudy,14,8,2010,30.3
21,56.8,32.4,22.3,349.7,1008.2,18.6,7.2,333.9,27.5,10,0.18,Clear,15,8,2010,31.6
22.6,62.9,32.4,20.5,339.6,1007.2,1,7.8,333.6,27.6,10,0.25,Clear,16,8,2010,31.3
